bloque,variedad,siembra,cv
34.0,Potomac Early Rosse,2018-10-19,75
34.0,Potomac Crimson,2018-10-29,66
34.0,Potomac Early Yellow,2018-11-02,64
34.0,Potomac Early Pink,2018-11-02,61
34.0,Potomac Early Pink,2018-11-03,60
32.0,Potomac Crimson,2018-11-05,67
34.0,Potomac Early Pink,2018-11-06,60
34.0,Potomac Early Pink,2018-11-06,62
34.0,Potomac Early Pink,2018-11-08,58
32.0,Potomac Crimson,2018-11-09,65
32.0,Potomac Crimson,2018-11-09,55
32.0,Potomac Crimson,2018-11-09,63
32.0,Potomac Crimson,2018-11-09,63
32.0,Potomac Crimson,2018-11-09,65
32.0,Potomac Crimson,2018-11-09,63
32.0,Potomac Crimson,2018-11-09,54
34.0,Potomac Early Pink,2018-11-10,56
34.0,Potomac Early White,2018-11-10,56
34.0,Potomac Early Rosse,2018-11-10,56
34.0,Potomac Early Rosse,2018-11-10,56
34.0,Potomac Early Rosse,2018-11-10,56
34.0,Potomac Early Rosse,2018-11-10,56
34.0,Potomac Early Pink,2018-11-10,56
34.0,Potomac Early Rosse,2018-11-10,56
34.0,Potomac Early Pink,2018-11-12,60
34.0,Potomac Early Pink,2018-11-12,60
34.0,Potomac Early White,2018-11-12,56
34.0,Potomac Early Pink,2018-11-12,59
34.0,Potomac Early White,2018-11-12,54
34.0,Potomac Early Pink,2018-11-12,60
34.0,Potomac Early Pink,2018-11-12,57
34.0,Potomac Early Yellow,2018-11-13,61
34.0,Potomac Early Rosse,2018-11-13,57
34.0,Potomac Early Pink,2018-11-14,52
34.0,Potomac Early Pink,2018-11-14,58
34.0,Potomac Early White,2018-11-15,53
34.0,Potomac Early Pink,2018-11-15,57
34.0,Potomac Early White,2018-11-15,55
34.0,Potomac Early White,2018-11-15,55
34.0,Potomac Early Pink,2018-11-15,60
34.0,Potomac Early Rosse,2018-11-16,65
34.0,Potomac Early Pink,2018-11-20,58
34.0,Potomac Early Pink,2018-11-20,59
34.0,Potomac Early Pink,2018-11-20,56
34.0,Potomac Early Pink,2018-11-20,59
34.0,Potomac Early Pink,2018-11-20,59
34.0,Potomac Early White,2018-11-20,53
34.0,Potomac Early Pink,2018-11-20,59
34.0,Potomac Early Pink,2018-11-20,60
34.0,Potomac Early White,2018-11-20,53
34.0,Potomac Early Rosse,2018-11-20,49
34.0,Potomac Early Rosse,2018-11-20,46
34.0,Potomac Early Pink,2018-11-20,60
34.0,Potomac Early Pink,2018-11-20,61
34.0,Potomac Early Pink,2018-11-20,59
34.0,Potomac Early Pink,2018-11-22,57
48.0,Potomac Early White,2018-11-24,53
48.0,Potomac Early White,2018-11-26,51
48.0,Potomac Early Yellow,2018-11-26,56
48.0,Potomac Early White,2018-11-27,55
48.0,Potomac Early White,2018-11-27,55
48.0,Potomac Early White,2018-11-28,54
34.0,Potomac Early Pink,2018-11-29,63
48.0,Potomac Early Yellow,2018-11-30,59
48.0,Potomac Early Yellow,2018-11-30,55
48.0,Potomac Early White,2018-11-30,53
42.0,Potomac Crimson,2018-12-10,61
42.0,Potomac Early Yellow,2018-12-12,57
42.0,Potomac Early Rosse,2018-12-12,59
42.0,Potomac Early Yellow,2018-12-12,54
42.0,Potomac Crimson,2018-12-13,64
42.0,Potomac Early White,2018-12-14,54
42.0,Potomac Early Rosse,2018-12-15,61
42.0,Potomac Early Rosse,2018-12-15,55
42.0,Potomac Early Rosse,2018-12-15,62
42.0,Potomac Early Rosse,2018-12-20,62
42.0,Potomac Early Rosse,2018-12-20,65
42.0,Potomac Early White,2018-12-21,55
42.0,Potomac Early White,2018-12-21,50
42.0,Potomac Early White,2018-12-27,49
32.0,Potomac Crimson,2018-12-27,68
42.0,Potomac Early White,2018-12-27,49
42.0,Potomac Early White,2018-12-27,44
32.0,Potomac Crimson,2018-12-27,68
32.0,Potomac Crimson,2018-12-27,65
42.0,Potomac Early Pink,2018-12-28,56
